#Comment,Designator,Footprint,Part#
19-223/Y1G5C-B01/2T,E1,19-223_Y1G5C,C264499
74LVC2G125DC,U4,74LVC2G125DC,C548582
ATTINY1626MU,U1,ATTINY1626MU,C5227676
B3SL-1022P,SW1,B3SL-1022P,C86708
BAT54TW,D2 D3 D4,BAT54TW,C5240638
BSS138PW	115,Q1 Q3 Q4 Q6,BSS138PW,C193366
0603B103K500NT,C5 C11,C0603_103,C57112
CC0603KRX7R9BB104,C2 C3 C4 C7 C8 C9 C10 C12 C13,C0603_104,C14663
CL10B224KA8NNNC,C6,C0603_224,C21120
0603B472K500NT,C1,C0603_472,C53987
CH340E,U2,CH340E,C99652
ASMD0805-035,F1,F0805_035B,C135328
KF1027B-04P-G00-DFT-01B,SW2,KF1027B-04P,C976366
LBSS84WT1G,Q2 Q5 Q7,LBSS84WT1G,C383208
MMSZ12VCW,Z1,MMSZ12VCW,C248761
MMSZ8V2CW,Z2,MMSZ8V2CW,C248741
MS-22C01-G1.5,SW3,MS-22C01-G15,C2904925
0603WAF1003T5E,R5 R6 R9 R10 R11 R12 R17 R18 R19 R20 R21,R0603_104,C25803
0603WAF1004T5E,R3,R0603_105,C22935
0603WAF3300T5E,R4 R7 R8 R13 R14 R15 R16,R0603_331,C23138
0603WAF5101T5E,R1 R2,R0603_512,C23186
SPX3819M5-L-3-3/TR,U3,SPX3819M5-L-3-3/TR,C9055
TP127-X6,TP1,TP127-X6,
5077CR,CN3,USB-C-SMD_12P,C165948
USBLC6-2SC6,D1,USBLC6-2SC6,C558442
